Source,Target,Type,Name,Year,Partnerhip Type,Weight
48,1,Undirected,2018 Africa Sustainable Development Report: towards a transformed and resilient continent,2018,Co-authorship,1
3,9,Undirected,5th BioTrade Congress: Linking trade & biodiversity,2021,Collaborative partnerhip,1
6,2,Undirected,Adaption to climate change in sub-sahara african humanitarian s24ations,2021,Co-authorship,0.333333333
6,4,Undirected,Adaption to climate change in sub-sahara african humanitarian s24ations,2021,Co-authorship,0.333333333
2,4,Undirected,Adaption to climate change in sub-sahara african humanitarian s24ations,2021,Co-authorship,0.333333333
13,33,Undirected,Addressing the Land Degradation-Migration Nexus,2017,Co-authorship,1
3,5,Undirected,"Advancing Sustainable Development Goal 14: Sustainable fish, seafood value chains, trade and climate",2019,Co-authorship,0.333333333
3,18,Undirected,"Advancing Sustainable Development Goal 14: Sustainable fish, seafood value chains, trade and climate",2019,Co-authorship,0.333333333
5,18,Undirected,"Advancing Sustainable Development Goal 14: Sustainable fish, seafood value chains, trade and climate",2019,Co-authorship,0.333333333
1,5,Undirected,Asia Wildlife Enforcement and Demand Management Project,2018,Co-authorship,0.16666667
1,41,Undirected,Asia Wildlife Enforcement and Demand Management Project,2018,Co-authorship,0.16666667
1,46,Undirected,Asia Wildlife Enforcement and Demand Management Project,2018,Co-authorship,0.16666667
5,41,Undirected,Asia Wildlife Enforcement and Demand Management Project,2018,Co-authorship,0.16666667
5,46,Undirected,Asia Wildlife Enforcement and Demand Management Project,2018,Co-authorship,0.16666667
41,46,Undirected,Asia Wildlife Enforcement and Demand Management Project,2018,Co-authorship,0.16666667
5,18,Undirected,"Becoming #GenerationRestoration: Ecosystem Restoration for People, Nature and Climate",2021,Co-authorship,1
1,5,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
1,13,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
1,25,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
1,22,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
1,18,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
1,45,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
1,17,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
5,13,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
5,25,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
5,22,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
5,18,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
5,45,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
5,17,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
13,25,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
13,22,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
13,18,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
13,45,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
13,17,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
25,22,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
25,18,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
25,45,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
25,17,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
22,18,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
22,45,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
22,17,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
18,45,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
18,17,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
45,17,Undirected,BES-Net Facility,2012,Collaborative partnerhip,0.03571429
5,45,Undirected,Bio-Bridge Initiative,2014,Coordinated activity,1
1,18,Undirected,Biodiversity and the 2030 agenda for sustainable development: Policy brief,2016,Co-authorship,0.1
1,28,Undirected,Biodiversity and the 2030 agenda for sustainable development: Policy brief,2016,Co-authorship,0.1
1,5,Undirected,Biodiversity and the 2030 agenda for sustainable development: Policy brief,2016,Co-authorship,0.1
1,45,Undirected,Biodiversity and the 2030 agenda for sustainable development: Policy brief,2016,Co-authorship,0.1
18,28,Undirected,Biodiversity and the 2030 agenda for sustainable development: Policy brief,2016,Co-authorship,0.1
18,5,Undirected,Biodiversity and the 2030 agenda for sustainable development: Policy brief,2016,Co-authorship,0.1
18,45,Undirected,Biodiversity and the 2030 agenda for sustainable development: Policy brief,2016,Co-authorship,0.1
5,45,Undirected,Biodiversity and the 2030 agenda for sustainable development: Policy brief,2016,Co-authorship,0.1
5,28,Undirected,Biodiversity and the 2030 agenda for sustainable development: Policy brief,2016,Co-authorship,0.1
45,28,Undirected,Biodiversity and the 2030 agenda for sustainable development: Policy brief,2016,Co-authorship,0.1
44,45,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
44,18,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
44,53,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
44,5,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
44,13,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
44,25,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
45,18,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
45,53,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
45,5,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
45,13,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
45,25,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
18,53,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
18,5,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
18,13,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
18,25,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
53,5,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
53,13,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
53,25,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
5,13,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
5,25,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
13,25,Undirected,Biodiversity Indicators Partnership,2007,Collaborative partnerhip,0.047619048
5,29,Undirected,Biodiversity: Its importance to Human Health,2002,Co-authorship,0.33333333
5,1,Undirected,Biodiversity: Its importance to Human Health,2002,Co-authorship,0.33333333
29,1,Undirected,Biodiversity: Its importance to Human Health,2002,Co-authorship,0.33333333
1,45,Undirected,BIOFIN | Biodiversity Finance Initiative,2012,Collaborative partnerhip,1
3,45,Undirected,"BioTrade and Access and Benefit Sharing: From concept to practice, A handbook for policymakers and regulators",2017,Co-authorship,1
1,5,Undirected,Blue Growth Initiative ,2018,Collaborative partnerhip,0.333333333
1,28,Undirected,Blue Growth Initiative ,2018,Collaborative partnerhip,0.333333333
5,28,Undirected,Blue Growth Initiative ,2018,Collaborative partnerhip,0.333333333
5,36,Undirected,"Chemicals, Wastes and Climate Change: Interlinkages and potential for coordinated action",2021,Co-authorship,0.33333333
5,54,Undirected,"Chemicals, Wastes and Climate Change: Interlinkages and potential for coordinated action",2021,Co-authorship,0.33333333
36,54,Undirected,"Chemicals, Wastes and Climate Change: Interlinkages and potential for coordinated action",2021,Co-authorship,0.33333333
18,8,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
18,2,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
18,1,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
18,5,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
18,49,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
18,26,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
18,28,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
18,29,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
18,31,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
8,2,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
8,1,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
8,5,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
8,49,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
8,26,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
8,28,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
8,29,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
8,31,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
2,1,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
2,5,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
2,49,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
2,26,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
2,28,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
2,29,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
2,31,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
1,5,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
1,49,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
1,26,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
1,28,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
1,29,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
1,31,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
